1544359169.0000,2031,45568.9997,-68.8265,-27.2629,0.6202,0.0200,0.0200,0.0500,0.9993,-0.0031,-0.0001,0.0361,0.0039,0.1745,0.0039,0.0006,0.0012,-0.0009,0.7072,0.7072,0.7080
1544359170.0000,2031,45569.9997,-68.8253,-27.2604,0.6185,0.0200,0.0200,0.0500,0.9993,-0.0035,-0.0001,0.0362,0.0013,0.1951,0.0013,0.0012,0.0025,-0.0017,0.0283,0.0283,0.0706
1544359171.0000,2031,45570.9997,-68.8273,-27.2590,0.6164,0.4368,0.4368,0.4477,0.9994,-0.0088,-0.0003,0.0348,0.0001,0.2138,0.0001,-0.0020,0.0015,-0.0021,0.4365,0.4365,0.4461
1544359172.0000,2031,45571.9997,-68.8284,-27.2603,0.6101,0.0200,0.0200,0.0499,0.9993,-0.0079,-0.0003,0.0353,0.0004,0.2309,0.0004,-0.0012,-0.0013,-0.0063,0.4003,0.4003,0.4087
1544359173.0000,2031,45572.9997,-68.8251,-27.2670,0.5960,0.0200,0.0200,0.0497,0.9994,0.0005,0.0000,0.0356,0.0039,0.2468,0.0039,0.0033,-0.0067,-0.0141,0.0282,0.0282,0.0701
1544359174.0000,2031,45573.9997,-68.8262,-27.2651,0.6168,0.0200,0.0200,0.0497,0.9993,-0.0099,-0.0004,0.0354,0.0029,0.2618,0.0029,-0.0011,0.0019,0.0208,0.0282,0.0282,0.0699
1544359175.0000,2031,45574.9997,-68.8286,-27.2667,0.5923,0.0200,0.0200,0.0497,0.9994,0.0060,0.0002,0.0345,0.0055,0.2760,0.0055,-0.0024,-0.0017,-0.0245,0.0282,0.0282,0.0699
1544359176.0000,2031,45575.9997,-68.8249,-27.2628,0.6135,0.0200,0.0200,0.0497,0.9993,-0.0027,-0.0001,0.0373,0.0044,0.2894,0.0044,0.0037,0.0040,0.0212,0.0282,0.0282,0.0699
1544359177.0000,2031,45576.9997,-68.8276,-27.2667,0.6010,0.0200,0.0200,0.0497,0.9994,-0.0000,-0.0000,0.0351,0.0053,0.3023,0.0053,-0.0027,-0.0039,-0.0125,0.0282,0.0282,0.0699
1544359178.0000,2031,45577.9997,-68.8286,-27.2646,0.6143,0.0200,0.0200,0.0497,0.9994,-0.0027,-0.0001,0.0359,0.0056,0.3146,0.0056,-0.0010,0.0021,0.0133,0.0282,0.0282,0.0699
1544359179.0000,2031,45578.9997,-68.8273,-27.2630,0.5997,0.0200,0.0200,0.0497,0.9994,-0.0014,-0.0001,0.0360,0.0017,0.3265,0.0017,0.0013,0.0016,-0.0145,0.0282,0.0282,0.0699
1544359180.0000,2031,45579.9997,-68.8277,-27.2670,0.6170,0.0200,0.0200,0.0497,0.9994,-0.0029,-0.0001,0.0357,0.0043,0.3380,0.0043,-0.0004,-0.0040,0.0173,0.0282,0.0282,0.0699
1544359181.0000,2031,45580.9997,-68.8311,-27.2625,0.6104,0.0200,0.0200,0.0497,0.9994,-0.0013,-0.0001,0.0347,0.0040,0.3491,0.0040,-0.0033,0.0044,-0.0066,0.0282,0.0282,0.0699
1544359182.0000,2031,45581.9997,-68.8307,-27.2603,0.6269,0.0200,0.0200,0.0497,0.9993,-0.0073,-0.0003,0.0359,0.0013,0.3598,0.0013,0.0004,0.0022,0.0165,0.0282,0.0282,0.0699
1544359183.0000,2031,45582.9997,-68.8252,-27.2630,0.6145,0.0200,0.0200,0.0497,0.9993,-0.0023,-0.0001,0.0371,0.0053,0.3702,0.0053,0.0054,-0.0027,-0.0124,0.0282,0.0282,0.0699
1544359184.0000,2031,45583.9997,-68.8221,-27.2670,0.6026,0.0200,0.0200,0.0497,0.9993,-0.0017,-0.0001,0.0364,0.0033,0.3804,0.0033,0.0032,-0.0040,-0.0119,0.0282,0.0282,0.0699
1544359185.0000,2031,45584.9997,-68.8267,-27.2597,0.6324,0.0200,0.0200,0.0497,0.9994,-0.0067,-0.0003,0.0354,0.0030,0.3903,0.0030,-0.0047,0.0073,0.0298,0.0282,0.0282,0.0699
1544359186.0000,2031,45585.9997,-68.8246,-27.2666,0.6072,0.0200,0.0200,0.0497,0.9993,-0.0009,-0.0000,0.0372,0.0056,0.3999,0.0056,0.0021,-0.0069,-0.0252,0.0282,0.0282,0.0699
1544359187.0000,2031,45586.9997,-68.8291,-27.2591,0.6221,0.0200,0.0200,0.0497,0.9993,-0.0129,-0.0005,0.0347,0.0030,0.4093,0.0030,-0.0045,0.0076,0.0149,0.0282,0.0282,0.0699
1544359188.0000,2031,45587.9997,-68.8344,-27.2587,0.6184,0.0200,0.0200,0.0497,0.9994,-0.0072,-0.0003,0.0326,0.0053,0.4185,0.0053,-0.0053,0.0004,-0.0038,0.0282,0.0282,0.0699
1544359189.0000,2031,45588.9997,-68.8181,-27.2668,0.6167,0.0200,0.0200,0.0497,0.9992,0.0014,0.0000,0.0393,0.0078,0.4275,0.0078,0.0163,-0.0081,-0.0017,0.0282,0.0282,0.0699
1544359190.0000,2031,45589.9997,-68.7899,-27.2855,0.6081,0.0200,0.0200,0.0497,0.9993,0.0002,-0.0000,0.0378,0.0876,0.4363,0.0876,0.0282,-0.0187,-0.0086,0.0282,0.0282,0.0699
1544359191.0000,2031,45590.9997,-68.8442,-27.2403,0.6558,0.0200,0.0200,0.0497,0.9993,-0.0011,-0.0001,0.0363,0.1237,0.4450,0.1237,-0.0542,0.0452,0.0477,0.0282,0.0282,0.0699
